SEQENCE_ID                     TM SP PREDICTION
PF3D7_0504900.1-p1              1  0 i150-171o
PF3D7_0505000.1-p1             10  0 o1109-1130i1223-1240o1262-1281i1602-1624o1882-1902i1914-1933o2411-2434i2708-2726o2848-2871i2911-2934o
PF3D7_0505100.1-p1              2  0 o879-898i919-939o
PF3D7_0505200.1-p1              0  0 i
PF3D7_0505300.1-p1              9  0 i64-86o101-119i140-162o174-191i412-432o444-462i535-556o562-583i590-608o
PF3D7_0505400.1-p1              0  Y n3-10c15/16o
PF3D7_0505700.1-p1              3  Y n3-13c21/22o515-534i652-677o697-714i
PF3D7_0505800.1-p1              0  0 i
PF3D7_0506000.1-p1              2  0 o17-36i158-176o
PF3D7_0506300.1-p1              0  0 i
PF3D7_0506400.1-p1              0  Y n10-25c31/32o
PF3D7_0507000.1-p1              0  0 i
PF3D7_0507300.1-p1              1  0 i7-25o
PF3D7_0507400.1-p1              0  0 i
PF3D7_0507600.1-p1              0  0 i
PF3D7_0507700.1-p1              0  0 i
PF3D7_0508000.1-p1              1  Y n6-17c21/22o327-347i
PF3D7_0508300.1-p1             10  0 i43-61o73-92i112-131o137-157i166-182o188-207i227-248o268-287i299-317o323-341i
PF3D7_0508400.1-p1              0  Y n10-17c21/22o
PF3D7_0508500.1-p1              1  0 o1857-1874i
PF3D7_0508900.1-p1              0  0 i
PF3D7_0510000.1-p1              0  0 i
PF3D7_0510300.1-p1              0  0 i
PF3D7_0510700.1-p1              0  0 i
PF3D7_0510800.1-p1              0  0 i
PF3D7_0511100.1-p1              0  Y n4-15c19/20o
PF3D7_0511400.1-p1              1  Y n7-18c24/25o329-349i
PF3D7_0511600.1-p1              1  Y n4-14c19/20o180-206i
PF3D7_0511700.1-p1              0  0 i
PF3D7_0511900.1-p1              2  0 i626-647o659-677i
PF3D7_0512100.1-p1              0  0 i
PF3D7_0512400.1-p1              0  0 i
PF3D7_0512500.1-p1              0  0 i
PF3D7_0512600.1-p1              0  0 i
PF3D7_0512800.1-p1              3  0 o1008-1027i1353-1373o1451-1469i
PF3D7_0512900.1-p1              0  0 i
PF3D7_0513000.1-p1              0  Y n3-14c19/20o
PF3D7_0513400.1-p1              0  0 i
PF3D7_0513700.1-p1              0  0 i
PF3D7_0513900.1-p1              1  0 i142-163o
PF3D7_0514200.1-p1              3  0 i7-35o393-410i846-864o
PF3D7_0514500.1-p1              4  0 i32-54o66-86i107-140o160-181i
PF3D7_0514700.1-p1              3  0 o768-792i858-877o1531-1548i
PF3D7_0515200.1-p1              1  0 o119-137i
PF3D7_0515500.1-p1             17  0 o253-277i298-316o322-344i356-373o379-403i476-494o506-528i549-570o585-608i620-638o644-665i686-703o715-738i750-771o777-802i852-876o896-919i
PF3D7_0515700.1-p1             10  0 i23-45o51-71i92-114o120-137i149-169o175-193i214-234o246-265i277-298o304-323i
PF3D7_0515800.1-p1              0  0 i
PF3D7_0516000.1-p1              0  0 i
PF3D7_0516400.1-p1              0  0 i
PF3D7_0516500.1-p1             12  0 i36-58o70-87i99-115o121-144i156-180o186-203i242-267o279-300i307-325o331-352i364-385o391-415i
PF3D7_0516600.1-p1              0  Y n10-20c27/28o
PF3D7_0517100.1-p1              2  0 i162-179o199-218i
PF3D7_0517600.1-p1              0  0 i
PF3D7_0517900.1-p1              0  0 i
PF3D7_0518100.1-p1              1  0 i12-30o
PF3D7_0518200.1-p1              0  0 i
PF3D7_0518300.1-p1              0  0 i
PF3D7_0518400.1-p1              2  0 o59-77i89-109o
PF3D7_0518800.1-p1              0  Y n2-13c18/19o
PF3D7_0519900.1-p1              3  0 o6-26i394-411o431-450i
PF3D7_0520800.1-p1              0  0 i
PF3D7_0521100.1-p1              4  0 o257-273i285-308o822-839i1119-1142o
PF3D7_0521200.1-p1              0  0 i
PF3D7_0521400.1-p1              0  Y n7-15c20/21o
PF3D7_0521900.1-p1              0  0 i
PF3D7_0522400.1-p1              6  0 o697-714i726-742o2014-2033i2172-2192o3186-3206i4663-4681o
PF3D7_0522600.1-p1              9  0 o20-41i62-83o89-107i114-135o155-175i273-291o303-322i334-354o392-409i
PF3D7_0522700.1-p1              0  Y n3-13c18/19o
PF3D7_0523000.1-p1             11  0 i56-82o94-115i166-186o192-212i276-296o316-337i789-810o830-851i904-924o930-948i1024-1048o
PF3D7_0523200.1-p1              0  0 i
PF3D7_0523400.1-p1              2  0 o65-84i96-118o
PF3D7_0523500.1-p1              0  0 i
PF3D7_0523600.1-p1              0  0 i
PF3D7_0523700.1-p1              7  0 i294-312o332-351i372-389o969-987i1007-1030o1050-1070i1091-1111o
PF3D7_0523800.1-p1             12  0 i229-247o276-299i320-345o351-370i382-404o424-445i466-487o516-534i555-573o585-603i623-645o651-673i
PF3D7_0523900.1-p1              4  0 i12-34o54-72i79-97o109-128i
PF3D7_0524000.1-p1              0  0 i
PF3D7_0524200.1-p1              4  0 i7-25o45-66i78-98o110-129i
PF3D7_0525300.1-p1              1  0 i91-113o
PF3D7_0525500.1-p1              1  0 o1677-1695i
PF3D7_0525700.1-p1              0  Y n6-14c19/20o
PF3D7_0526000.1-p1              3  0 i413-432o462-485i497-516o
PF3D7_0526100.1-p1              4  0 i7-25o317-340i352-371o377-396i
PF3D7_0526300.1-p1              0  0 i
PF3D7_0526400.1-p1              2  0 o63-88i139-156o
PF3D7_0526500.1-p1              0  0 i
PF3D7_0526700.1-p1              2  0 i5-24o758-780i
PF3D7_0526900.1-p1              1  Y n10-20c27/28o183-204i
PF3D7_0527400.1-p1              2  0 i99-120o132-156i
PF3D7_0527500.1-p1              0  0 i
PF3D7_0528500.1-p1              0  0 i
PF3D7_0528900.1-p1              0  Y n2-13c18/19o
PF3D7_0529000.1-p1              2  0 i12-34o676-697i
PF3D7_0529100.1-p1              1  0 i7-27o
PF3D7_0529200.1-p1             12  0 i69-95o101-121i142-160o172-192i212-235o247-270i301-325o337-357i369-388o394-413i434-460o480-503i
PF3D7_0529500.1-p1              0  0 i
PF3D7_0529700.1-p1              0  0 i
PF3D7_0529800.1-p1              1  0 i199-215o
PF3D7_0529900.1-p1              4  0 i59-81o93-116i148-165o171-199i
PF3D7_0530100.1-p1              1  0 o205-224i
PF3D7_0530200.1-p1              8  0 i226-246o300-333i340-358o364-383i404-422o442-460i472-494o500-519i
PF3D7_0530300.1-p1             12  0 i20-39o91-115i779-805o811-836i857-880o886-906i1252-1272o1292-1314i1326-1343o1363-1381i1393-1416o1422-1441i
PF3D7_0530400.1-p1              2  0 o783-804i910-929o
PF3D7_0530500.1-p1             11  Y n9-20c24/25o206-228i249-270o315-337i358-382o499-519i552-576o596-615i622-641o647-669i681-704o716-740i
PF3D7_0530800.1-p1              0  Y n4-15c22/23o
PF3D7_0531000.1-p1              2  0 i219-239o686-702i
PF3D7_0531100.1-p1              0  0 i
PF3D7_0532100.1-p1              1  Y n6-16c24/25o111-135i
PF3D7_0532200.1-p1              1  0 o6-24i
PF3D7_0532300.1-p1              1  0 i54-71o
PF3D7_0532400.1-p1              1  0 i48-68o
PF3D7_0532500.1-p1              0  0 i
PF3D7_0532600.1-p1              1  0 o6-23i
PF3D7_0532900.1-p1              1  Y n8-19c23/24o272-298i
PF3D7_0600200.1-p1              1  0 o2456-2477i
PF3D7_0600300.1-p1              1  0 o330-351i
PF3D7_0600400.1-p1              1  0 o896-913i
PF3D7_0600500.1-p1              1  Y n8-19c23/24o327-352i
PF3D7_0600600.1-p1              0  Y n4-15c19/20o
PF3D7_0600700.1-p1              1  0 o307-329i
PF3D7_0601200.1-p1              3  0 o6-26i162-183o189-209i
PF3D7_0601500.1-p1              2  0 o6-29i62-79o
PF3D7_0601900.1-p1              1  0 o37-55i
PF3D7_0602200.1-p1              0  0 i
PF3D7_0602300.1-p1              0  Y n9-17c21/22o
PF3D7_0602700.1-p1              0  0 i
PF3D7_0602900.1-p1              0  0 i
PF3D7_0603500.1-p1             11  0 i97-113o119-138i150-171o183-205i217-238o250-268i289-309o329-350i362-385o391-412i419-438o
PF3D7_0603600.1-p1              7  0 o604-623i860-878o1944-1962i1983-2003o2023-2042i2285-2306o2312-2334i
PF3D7_0603800.1-p1              1  0 o1785-1807i
PF3D7_0603900.1-p1              0  0 i
PF3D7_0604000.1-p1              2  0 o1420-1442i1449-1467o
PF3D7_0604300.1-p1              0  0 i
PF3D7_0604400.1-p1              1  0 o6-24i
PF3D7_0604800.1-p1              1  0 i639-658o
PF3D7_0604900.1-p1              0  Y n22-33c37/38o
PF3D7_0605700.1-p1              0  0 i
PF3D7_0606200.1-p1              0  0 i
PF3D7_0606300.1-p1              0  0 i
PF3D7_0606800.1-p1              0  Y n4-15c22/23o
PF3D7_0606900.1-p1              0  0 i
PF3D7_0607200.1-p1              4  0 i30-51o63-82i103-122o142-172i
PF3D7_0607400.1-p1             10  0 i238-259o279-305i317-340o352-374i381-397o446-467i479-496o508-532i552-576o582-598i
PF3D7_0607700.1-p1              0  0 i
PF3D7_0607800.1-p1              1  0 o563-584i
PF3D7_0607900.1-p1              1  0 i582-600o
PF3D7_0608100.1-p1              0  Y n5-13c18/19o
PF3D7_0608200.1-p1              0  0 i
PF3D7_0608300.1-p1              1  0 o1401-1422i
PF3D7_0608310.1-p1              0  0 i
PF3D7_0608400.1-p1              1  0 i70-88o
PF3D7_0608500.1-p1              0  0 i
PF3D7_0608700.1-p1              0  0 i
PF3D7_0608900.1-p1              1  0 o949-969i
PF3D7_0609000.1-p1              7  0 o645-666i886-906o1993-2014i2898-2917o4624-4648i4955-4973o5395-5414i
PF3D7_0609100.1-p1              8  0 o6-25i46-67o92-113i188-207o213-236i248-265o277-296i308-327o
PF3D7_0609500.1-p1              1  Y n3-12c17/18o783-800i
PF3D7_0609600.1-p1              3  0 i100-123o946-963i1057-1076o
PF3D7_0609700.1-p1              3  0 i292-311o1407-1429i1436-1458o
PF3D7_0610700.1-p1              0  0 i
PF3D7_0611000.1-p1              7  0 i32-52o100-122i129-151o157-174i195-218o224-249i261-278o
PF3D7_0611600.1-p1              4  0 i512-530o536-551i558-577o597-618i
PF3D7_0611900.1-p1              0  0 i
PF3D7_0612000.1-p1              1  0 o28-47i
PF3D7_0612300.1-p1              3  Y n4-15c20/21o44-65i72-93o99-116i
PF3D7_0612700.1-p1              1  Y n9-20c25/26o325-346i
PF3D7_0612800.1-p1              1  Y n4-15c20/21o354-370i
PF3D7_0613000.1-p1              0  0 i
PF3D7_0613000.3-p1              0  0 i
PF3D7_0613100.1-p1              2  0 i7-25o37-57i
PF3D7_0613200.1-p1              1  0 i7-29o
PF3D7_0613300.1-p1             13  0 i66-83o133-154i161-180o186-204i216-234o272-290i295-312o318-337i534-555o561-580i592-612o618-636i648-666o
PF3D7_0613500.1-p1              2  0 o561-583i740-757o
PF3D7_0613600.1-p1              1  0 i12-31o
PF3D7_0614300.1-p1             12  0 i81-105o125-146i158-177o183-204i216-238o244-265i591-613o619-636i643-662o698-719i726-744o815-837i
PF3D7_0614600.1-p1              1  0 i574-590o
PF3D7_0614900.1-p1             10  0 i15-35o41-59i238-256o262-284i318-343o703-736i778-799o805-827i834-852o864-895i
PF3D7_0615300.1-p1             14  0 i7-27o205-228i235-254o260-279i428-447o453-474i495-513o525-545i552-571o591-609i728-751o763-787i808-826o832-854i
PF3D7_0615600.1-p1             11  0 i239-256o393-410i431-447o453-469i567-586o821-840i852-871o1783-1801i2252-2271o2319-2337i2349-2369o
PF3D7_0615700.1-p1              0  0 i
PF3D7_0616200.1-p1              0  0 i
PF3D7_0616400.1-p1              5  Y n3-13c18/19o561-577i685-705o1196-1214i1443-1464o1470-1493i
PF3D7_0616500.1-p1              1  Y n7-18c23/24o1310-1329i
PF3D7_0616700.1-p1              0  0 i
PF3D7_0617400.1-p1              1  0 o2029-2046i
PF3D7_0617600.1-p1              1  Y n8-19c23/24o260-284i
PF3D7_0617700.1-p1              1  Y n8-19c24/25o290-311i
PF3D7_0618000.1-p1              4  0 o509-531i680-700o712-732i766-784o
PF3D7_0618100.1-p1              0  0 i
PF3D7_0618400.1-p1              9  0 o6-26i38-61o81-104i175-197o254-283i373-398o436-457i478-501o531-549i
PF3D7_0618700.1-p1              1  0 o241-257i
PF3D7_0618800.1-p1              4  0 i281-301o307-325i434-454o474-493i
PF3D7_0619000.2-p1              6  0 o206-225i282-302o834-853i1380-1396o1408-1426i1433-1451o
PF3D7_0619100.1-p1              1  0 o6-23i
PF3D7_0619300.1-p1              5  0 o1800-1819i1899-1918o3228-3254i3480-3500o3506-3524i
PF3D7_0619400.1-p1              0  0 i
PF3D7_0619600.1-p1              2  0 o530-552i664-682o
PF3D7_0619700.1-p1              0  0 i
PF3D7_0619800.1-p1              7  0 i272-291o1894-1913i1992-2011o2023-2042i2331-2352o2372-2389i2440-2457o
PF3D7_0620000.1-p1              1  Y n5-16c24/25o476-504i
PF3D7_0620200.1-p1              1  0 i21-41o
PF3D7_0620300.1-p1              0  0 i
PF3D7_0620400.1-p1              1  Y n9-20c26/27o508-524i
PF3D7_0620500.1-p1              0  0 i
PF3D7_0620700.1-p1              1  0 o339-356i
PF3D7_0621000.1-p1              2  0 o6-25i46-66o
PF3D7_0621100.1-p1              2  0 o331-351i391-413o
PF3D7_0621350.1-p1              4  0 i7-25o45-67i74-93o99-120i
PF3D7_0621700.1-p1              0  0 i
PF3D7_0621900.1-p1              0  0 i
PF3D7_0622000.1-p1              2  Y n6-17c21/22o104-125i187-207o
PF3D7_0622100.1-p1              0  0 i
PF3D7_0622300.1-p1              3  0 o736-753i765-785o810-832i
PF3D7_0622400.1-p1              0  0 i
PF3D7_0622700.1-p1              5  Y n3-14c19/20o80-99i141-162o168-189i323-348o354-373i
PF3D7_0623300.1-p1              1  Y n7-18c26/27o194-216i
PF3D7_0623600.1-p1              0  0 i
PF3D7_0624100.1-p1              0  0 i
PF3D7_0624200.1-p1              0  0 i
PF3D7_0624300.1-p1              0  Y n4-15c20/21o
PF3D7_0624400.1-p1              0  Y n4-15c19/20o
PF3D7_0624800.1-p1              1  Y n7-17c22/23o604-623i
PF3D7_0625400.1-p1              0  Y n3-14c22/23o
PF3D7_0625500.1-p1              5  0 o169-192i204-227o233-249i256-273o285-304i
PF3D7_0626600.1-p1              0  0 i
PF3D7_0627100.1-p1              0  0 i
PF3D7_0627200.1-p1              0  0 i
PF3D7_0627500.1-p1              0  0 i
PF3D7_0627600.1-p1              0  0 i
PF3D7_0627700.1-p1              0  0 i
PF3D7_0628500.1-p1              0  0 i
PF3D7_0628700.1-p1              0  0 i
PF3D7_0628900.1-p1              0  0 i
PF3D7_0629200.1-p1              0  Y n6-17c21/22o
PF3D7_0629400.1-p1              0  0 i
PF3D7_0629500.1-p1             11  0 i175-194o200-225i246-271o283-301i313-332o352-372i393-412o428-449i522-539o545-567i579-605o
PF3D7_0629800.1-p1              2  0 o693-712i962-978o
PF3D7_0630000.1-p1              0  Y n7-18c22/23o
PF3D7_0630200.1-p1              0  Y n6-16c21/22o
PF3D7_0630400.1-p1              1  Y n9-20c27/28o345-366i
PF3D7_0630600.1-p1              2  0 o262-283i600-622o
PF3D7_0631800.1-p1              1  Y n8-15c19/20o301-323i
PF3D7_0631900.1-p1              2  0 i178-197o264-285i
PF3D7_0632000.1-p1              1  Y n8-15c20/21o329-350i
PF3D7_0632100.1-p1              1  0 o282-303i
PF3D7_0632200.1-p1              1  0 o335-357i
PF3D7_0632300.1-p1              1  Y n8-19c26/27o314-339i
PF3D7_0632400.1-p1              1  0 o336-357i
PF3D7_0632500.1-p1              1  0 o3444-3461i
PF3D7_0632700.1-p1              1  0 o335-356i
PF3D7_0632800.1-p1              1  0 o1736-1758i
PF3D7_0700100.1-p1              1  0 o1819-1840i
PF3D7_0700200.1-p1              1  0 o282-303i
PF3D7_0700300.1-p1              1  Y n8-18c22/23o275-296i
PF3D7_0700400.1-p1              3  0 o6-22i175-197o257-282i
PF3D7_0700500.1-p1              1  Y n8-19c23/24o316-337i
PF3D7_0700800.1-p1              2  0 i162-184o190-209i
PF3D7_0701100.1-p1              1  0 o287-309i
PF3D7_0701600.1-p1              2  0 i163-182o188-209i
PF3D7_0701800.1-p1              1  0 o288-311i
PF3D7_0701900.1-p1              3  0 i21-41o744-764i776-795o
PF3D7_0702000.1-p1              0  Y n4-11c16/17o
PF3D7_0702300.1-p1              2  0 i553-570o576-593i
PF3D7_0702400.1-p1              1  0 o80-97i
PF3D7_0702500.1-p1              1  0 o32-50i
PF3D7_0702900.1-p1              0  Y n7-18c23/24o
PF3D7_0703000.1-p1              4  0 o327-345i914-931o1249-1266i1583-1607o
PF3D7_0703200.1-p1              1  0 o973-990i
PF3D7_0703300.1-p1              0  0 i
PF3D7_0703400.1-p1              1  0 i186-207o
PF3D7_0703500.1-p1              1  0 i12-32o
PF3D7_0703700.1-p1              0  0 i
PF3D7_0703800.1-p1              0  0 i
PF3D7_0703900.1-p1             13  0 i78-99o1049-1073i1094-1113o1732-1754i1834-1856o1868-1887i2239-2264o2284-2303i2901-2922o3280-3301i4119-4138o4167-4188i4309-4325o
PF3D7_0704000.1-p1             19  0 o514-535i556-576o582-599i920-937o943-965i1210-1228o1248-1265i1286-1305o1532-1551i1713-1735o1747-1767i1924-1940o2312-2332i2352-2372o2431-2449i2595-2616o2628-2645i2705-2725o2748-2770i
PF3D7_0704100.1-p1              9  0 i188-206o212-230i237-258o304-324i345-366o372-391i398-418o466-489i1286-1304o
PF3D7_0704300.1-p1              4  0 o27-47i52-71o77-99i111-134o
PF3D7_0704400.1-p1              0  0 i
PF3D7_0705100.1-p1              0  0 i
PF3D7_0705200.1-p1              0  0 i
PF3D7_0705800.1-p1              0  Y n7-18c22/23o
PF3D7_0706000.1-p1              0  0 i
PF3D7_0706100.1-p1              4  0 o6-25i251-267o273-291i317-335o
PF3D7_0706200.1-p1              0  0 i
PF3D7_0706600.1-p1              3  0 o330-349i435-453o503-522i
PF3D7_0707200.1-p1              5  0 i854-873o885-902i923-940o1244-1263i1449-1465o
PF3D7_0707300.1-p1              1  Y n3-11c16/17o842-860i
PF3D7_0707800.1-p1              1  0 i7-25o
PF3D7_0708300.1-p1              0  0 i
PF3D7_0708800.1-p1              0  0 i
PF3D7_0708900.1-p1              1  0 i80-102o
PF3D7_0709000.1-p1             10  0 i59-77o97-114i126-149o155-175i182-199o211-230i242-264o315-337i344-362o374-394i
PF3D7_0709100.1-p1              0  Y n2-9c14/15o
PF3D7_0709200.1-p1              1  0 o6-24i
PF3D7_0709800.1-p1              1  0 o12-32i
PF3D7_0710000.1-p1              2  0 o812-831i1838-1856o
PF3D7_0710100.1-p1              1  0 i147-165o
PF3D7_0710300.1-p1              5  Y n3-16c20/21o30-47i68-86o98-123i144-162o168-197i
PF3D7_0710500.1-p1              1  0 i7-24o
PF3D7_0710800.1-p1              1  0 i350-375o
PF3D7_0711100.1-p1              4  0 i105-122o128-146i166-197o209-228i
PF3D7_0711200.1-p1              0  0 i
PF3D7_0711700.1-p1              1  0 o1728-1750i
PF3D7_0712000.1-p1              1  0 o1803-1825i
PF3D7_0712300.1-p1              1  0 o1762-1788i
PF3D7_0712400.1-p1              1  0 o1626-1648i
PF3D7_0712600.1-p1              1  0 o1738-1764i
PF3D7_0712800.1-p1              1  0 o1739-1760i
PF3D7_0712900.1-p1              1  0 o1760-1781i
PF3D7_0713000.1-p1              1  Y n8-19c24/25o304-326i
PF3D7_0713100.1-p1              2  0 i158-181o187-208i
PF3D7_0713200.1-p1              0  0 i
PF3D7_0713400.1-p1              7  Y n9-20c28/29o52-70i133-158o189-208i229-247o259-278i299-325o331-348i
PF3D7_0713700.1-p1              1  Y n5-16c21/22o168-190i
PF3D7_0714400.1-p1              0  0 i
PF3D7_0715200.1-p1              0  Y n7-18c23/24o
PF3D7_0715400.1-p1              0  Y n7-17c22/23o
PF3D7_0715700.1-p1              0  0 i
PF3D7_0715800.1-p1             10  0 i28-49o61-81i203-223o229-247i254-275o281-302i314-336o356-378i385-402o408-426i
PF3D7_0715900.1-p1              6  0 i37-61o67-86i107-126o138-158i399-422o428-449i
PF3D7_0716300.1-p1              0  Y n3-14c19/20o
PF3D7_0716500.1-p1              0  0 i
PF3D7_0716700.1-p1              1  0 o736-758i
PF3D7_0716900.1-p1              9  Y n5-15c19/20o35-54i66-82o88-109i121-137o149-169i181-202o222-244i251-271o283-301i
PF3D7_0717000.1-p1              8  0 i21-40o52-73i105-127o133-157i164-181o187-204i220-237o243-261i
PF3D7_0717200.1-p1              0  0 i
PF3D7_0717800.1-p1              0  0 i
PF3D7_0717900.1-p1              1  0 i82-101o
PF3D7_0718000.1-p1              6  0 o2211-2229i2398-2420o2426-2446i2458-2475o4297-4317i4708-4731o
PF3D7_0718300.1-p1             10  Y n7-18c27/28o1732-1754i1766-1786o1842-1863i1928-1947o1983-2006i2033-2055o2061-2079i2100-2118o2124-2152i2224-2249o
PF3D7_0718700.1-p1              5  0 i106-127o212-231i243-265o271-293i426-446o
PF3D7_0718800.1-p1              2  0 i48-67o73-102i
PF3D7_0718900.1-p1              2  0 i45-66o72-99i
PF3D7_0719400.1-p1              1  0 i12-31o
PF3D7_0719500.1-p1              2  0 i168-190o431-450i
PF3D7_0719800.1-p1              1  0 i12-31o
PF3D7_0719900.1-p1              5  0 o570-590i1140-1158o1781-1800i2173-2190o3360-3383i
PF3D7_0720000.1-p1              0  0 i
PF3D7_0720200.1-p1              0  0 i
PF3D7_0720400.1-p1              1  0 i62-82o
PF3D7_0720500.1-p1              2  0 i44-61o73-90i
PF3D7_0720600.1-p1              0  0 i
PF3D7_0720700.1-p1              4  0 o289-307i328-353o455-474i2101-2120o
PF3D7_0720800.1-p1              0  0 i
PF3D7_0721000.1-p1              6  0 o1051-1067i1074-1095o2058-2080i2197-2217o3228-3249i3296-3314o
PF3D7_0721100.1-p1              0  Y n4-16c24/25o
PF3D7_0721200.1-p1              0  0 i
PF3D7_0721400.1-p1              0  0 i
PF3D7_0721500.1-p1              6  0 i21-47o81-104i173-194o200-223i712-737o749-771i
PF3D7_0721700.1-p1              0  Y n4-11c16/17o
PF3D7_0721800.1-p1              0  0 i
PF3D7_0722200.1-p1              0  Y n3-14c22/23o
PF3D7_0722700.1-p1              1  0 o31-50i
PF3D7_0722800.1-p1              1  Y n5-15c22/23o345-364i
PF3D7_0723200.1-p1              0  Y n6-16c22/23o
PF3D7_0723500.1-p1              0  0 i
PF3D7_0724500.1-p1              0  0 i
PF3D7_0725100.1-p1              5  0 o443-460i472-491o1216-1236i1460-1479o1499-1515i
PF3D7_0725400.1-p1              0  Y n7-16c21/22o
PF3D7_0726050.1-p1              1  Y n6-16c28/29o60-82i
PF3D7_0726100.1-p1              3  0 o47-66i731-751o757-778i
PF3D7_0726400.1-p1             12  0 o1550-1566i1731-1748o1754-1777i1994-2016o2265-2283i2304-2323o2353-2377i2929-2947o3399-3418i3532-3548o3853-3870i3956-3974o
PF3D7_0726700.1-p1              0  Y n3-13c19/20o
PF3D7_0727100.1-p1              0  Y n4-14c18/19o
PF3D7_0727400.1-p1              0  0 i
PF3D7_0727500.1-p1              0  Y n5-13c17/18o
PF3D7_0727600.1-p1              2  0 o366-388i604-624o
PF3D7_0728200.1-p1              1  0 i189-210o
PF3D7_0728300.1-p1              0  0 i
PF3D7_0728400.1-p1              0  0 i
PF3D7_0728500.1-p1              0  0 i
PF3D7_0728800.1-p1              0  Y n3-14c19/20o
PF3D7_0729200.1-p1              0  Y n7-15c20/21o
PF3D7_0729700.1-p1              3  0 o428-448i537-556o583-602i
PF3D7_0729800.1-p1              0  0 i
PF3D7_0730000.1-p1              1  0 i35-54o
PF3D7_0730800.1-p1              0  Y n7-17c26/27o
PF3D7_0730900.1-p1              1  0 i41-61o
PF3D7_0731100.1-p1              1  0 i45-71o
PF3D7_0731200.1-p1              2  0 o32-51i277-308o
PF3D7_0731300.1-p1              1  0 i12-36o
PF3D7_0731500.1-p1              1  Y n5-16c21/22o1423-1441i
PF3D7_0731700.1-p1              0  Y n8-16c21/22o
PF3D7_0732000.1-p1              1  Y n9-16c21/22o253-278i
PF3D7_0732200.1-p1              1  0 o324-346i
PF3D7_0732300.1-p1              1  Y n8-19c24/25o296-318i
PF3D7_0732400.1-p1              1  0 o341-362i
PF3D7_0732500.1-p1              1  Y n8-19c24/25o330-352i
PF3D7_0732700.1-p1              1  Y n8-19c26/27o314-339i
PF3D7_0732800.1-p1              1  0 o6-23i
PF3D7_0732900.1-p1              1  0 o297-319i
PF3D7_0733000.1-p1              1  0 o2093-2114i
PF3D7_0800100.1-p1              1  0 o1646-1667i
PF3D7_0800200.1-p1              1  0 o2448-2465i
PF3D7_0800300.1-p1              1  0 o2523-2544i
PF3D7_0800400.1-p1              1  0 o289-310i
PF3D7_0800500.1-p1              1  Y n8-15c21/22o336-355i
PF3D7_0800800.1-p1              2  0 i150-170o182-203i
PF3D7_0801000.1-p1              1  0 i42-61o
PF3D7_0801300.1-p1              0  Y n6-18c23/24o
PF3D7_0801400.1-p1              0  0 i
PF3D7_0801600.1-p1              2  0 i58-75o95-115i
PF3D7_0802200.1-p1              0  0 i
PF3D7_0802300.1-p1              0  0 i
PF3D7_0802700.1-p1              0  0 i
PF3D7_0803600.1-p1              1  0 o1576-1593i
PF3D7_0803800.1-p1              0  0 i
PF3D7_0804500.1-p1             10  0 o1979-1999i3060-3087o3114-3132i3457-3478o3490-3514i3526-3551o3635-3657i3874-3896o3969-3986i3998-4021o
PF3D7_0804700.1-p1              0  0 i
PF3D7_0805100.1-p1              0  0 i
PF3D7_0806100.1-p1              0  0 i
PF3D7_0806300.1-p1              1  0 o1682-1703i
PF3D7_0806700.1-p1              6  0 o547-573i1419-1438o1444-1462i1624-1648o2219-2236i2248-2266o
PF3D7_0806900.1-p1              1  0 i9-34o
PF3D7_0807000.1-p1              0  0 i
PF3D7_0807200.1-p1              7  0 i57-77o97-118i138-160o205-223i243-265o277-296i317-338o
PF3D7_0807300.1-p1              0  Y n10-17c22/23o
PF3D7_0807500.1-p1              0  0 i
PF3D7_0807800.1-p1              0  0 i
PF3D7_0808100.1-p1              4  0 o803-820i841-859o1110-1127i1139-1158o
PF3D7_0808300.1-p1              0  0 i
PF3D7_0808400.1-p1              0  0 i
PF3D7_0808450.1-p1              1  0 o24-42i
PF3D7_0808600.1-p1              1  0 o1767-1793i
PF3D7_0808700.1-p1              1  0 o1770-1787i
PF3D7_0808800.1-p1              2  0 i7-25o323-350i
PF3D7_0808900.1-p1              1  Y n9-19c23/24o291-312i
PF3D7_0809100.1-p1              1  0 o1674-1691i
PF3D7_0809200.1-p1              1  0 o914-936i
PF3D7_0809250.1-p1              1  0 o22-40i
PF3D7_0809400.1-p1              0  0 i
PF3D7_0810000.1-p1              0  0 i
PF3D7_0810200.1-p1              0  0 i
PF3D7_0810400.1-p1              7  0 o48-68i284-310o330-352i364-384o452-473i499-520o526-543i
PF3D7_0810700.1-p1              2  0 o44-63i75-95o
PF3D7_0811000.1-p1              0  0 i
PF3D7_0811200.1-p1              1  Y n28-38c46/47o1100-1120i
PF3D7_0811600.1-p1              0  Y n4-12c20/21o
PF3D7_0811800.1-p1              2  0 i169-186o206-223i
PF3D7_0812000.1-p1              0  0 i
PF3D7_0812100.1-p1             11  0 o838-859i880-899o1448-1466i1861-1879o2189-2211i2277-2295o2307-2326i2338-2361o2381-2402i2469-2486o2492-2509i
PF3D7_0812220.1-p1              1  0 i9-29o
PF3D7_0812300.1-p1              1  Y n5-17c22/23o412-435i
PF3D7_0812400.1-p1              0  0 i
PF3D7_0812600.1-p1              0  0 i
PF3D7_0812800.1-p1              0  0 i
PF3D7_0812900.1-p1             12  0 i118-142o195-219i278-298o920-949i970-992o1012-1032i1044-1060o1080-1103i1130-1149o1155-1171i1192-1217o1223-1245i
PF3D7_0813200.1-p1              0  0 i
