Protein_id	Compartment	Score	Rank
PF3D7_0423800.1-p1	lyso	4	2
PF3D7_0423800.1-p1	mito_pero	2.5	3
PF3D7_0423800.1-p1	pero	2	4
PF3D7_0423900.1-p1	extr	13	1
PF3D7_0423900.1-p1	plas	6	2
PF3D7_0423900.1-p1	pero	6	3
PF3D7_0423900.1-p1	mito	2.5	4
PF3D7_0423900.1-p1	E.R._mito	2.5	5
PF3D7_0423900.1-p1	E.R.	1.5	6
PF3D7_0424000.1-p1	extr	16	1
PF3D7_0424000.1-p1	golg	9	2
PF3D7_0424000.1-p1	E.R._golg	8.5	3
PF3D7_0424000.1-p1	E.R.	6	4
PF3D7_0424100.1-p1	mito	15	1
PF3D7_0424100.1-p1	cyto	10.5	2
PF3D7_0424100.1-p1	cyto_nucl	6	3
PF3D7_0424100.1-p1	extr	3	4
PF3D7_0424100.1-p1	pero	3	5
PF3D7_0424200.1-p1	plas	17	1
PF3D7_0424200.1-p1	E.R.	8	2
PF3D7_0424200.1-p1	pero	5	3
PF3D7_0424400.1-p1	plas	24	1
PF3D7_0424400.1-p1	cyto	2	2
PF3D7_0424400.1-p1	mito	2	3
PF3D7_0424400.1-p1	E.R.	2	4
PF3D7_0424400.1-p1	E.R._mito	2	5
PF3D7_0424400.1-p1	cyto_mito	2	6
PF3D7_0424500.1-p1	cyto	13	1
PF3D7_0424500.1-p1	extr	8	2
PF3D7_0424500.1-p1	golg	4.5	3
PF3D7_0424500.1-p1	extr_plas	4.5	4
PF3D7_0424500.1-p1	mito_pero	4	5
PF3D7_0424500.1-p1	E.R._golg	3	6
PF3D7_0424600.1-p1	cyto	12	1
PF3D7_0424600.1-p1	cyto_nucl	10.8333	2
PF3D7_0424600.1-p1	nucl	8.5	3
PF3D7_0424600.1-p1	cyto_mito	7.83333	4
PF3D7_0424600.1-p1	plas	5.5	5
PF3D7_0424600.1-p1	extr_plas	3.5	6
PF3D7_0424600.1-p1	mito	2.5	7
PF3D7_0424700.1-p1	cyto	10	1
PF3D7_0424700.1-p1	cyto_nucl	9.83333	2
PF3D7_0424700.1-p1	nucl	8.5	3
PF3D7_0424700.1-p1	cyto_mito	6.83333	4
PF3D7_0424700.1-p1	pero	5	5
PF3D7_0424700.1-p1	plas	4.5	6
PF3D7_0424700.1-p1	extr_plas	3	7
PF3D7_0424800.1-p1	cyto	10	1
PF3D7_0424800.1-p1	extr	9	2
PF3D7_0424800.1-p1	mito	6	3
PF3D7_0424800.1-p1	cyto_nucl	6	4
PF3D7_0424800.1-p1	E.R._mito	4.5	5
PF3D7_0424900.1-p1	plas	11	1
PF3D7_0424900.1-p1	cyto	7	2
PF3D7_0424900.1-p1	mito	5	3
PF3D7_0424900.1-p1	cyto_nucl	5	4
PF3D7_0424900.1-p1	mito_pero	4.5	5
PF3D7_0424900.1-p1	nucl	3	6
PF3D7_0425100.1-p1	pero	19	1
PF3D7_0425100.1-p1	extr	7	2
PF3D7_0425100.1-p1	E.R.	3	3
PF3D7_0425200.1-p1	plas	23	1
PF3D7_0425200.1-p1	extr	6	2
PF3D7_0425400.1-p1	cyto	16	1
PF3D7_0425400.1-p1	cyto_nucl	15.5	2
PF3D7_0425400.1-p1	nucl	9	3
PF3D7_0425400.1-p1	extr	6	4
PF3D7_0425500.1-p1	plas	25	1
PF3D7_0425500.1-p1	extr	2	2
PF3D7_0425500.1-p1	pero	2	3
PF3D7_0425700.1-p1	pero	17	1
PF3D7_0425700.1-p1	mito	4.5	2
PF3D7_0425700.1-p1	plas	3	3
PF3D7_0425700.1-p1	extr	3	4
PF3D7_0425700.1-p1	extr_plas	3	5
PF3D7_0425700.1-p1	cyto_mito	3	6
PF3D7_0425800.1-p1	cyto	16	1
PF3D7_0425800.1-p1	cyto_mito	10.1667	2
PF3D7_0425800.1-p1	nucl	5	3
PF3D7_0425800.1-p1	mito_pero	3.66667	4
PF3D7_0425800.1-p1	plas	3.5	5
PF3D7_0425800.1-p1	pero	3	6
PF3D7_0425900.1-p1	pero	19	1
PF3D7_0425900.1-p1	E.R.	4	2
PF3D7_0425900.1-p1	plas	3.5	3
PF3D7_0425900.1-p1	extr_plas	3.5	4
PF3D7_0425900.1-p1	extr	2.5	5
PF3D7_0425900.1-p1	E.R._golg	2.5	6
PF3D7_0426000.1-p1	cyto	11.5	1
PF3D7_0426000.1-p1	nucl	10	2
PF3D7_0426000.1-p1	cyto_mito	7.66667	3
PF3D7_0426000.1-p1	mito_pero	3.33333	4
PF3D7_0426000.1-p1	extr_plas	3	5
PF3D7_0426000.1-p1	plas	2.5	6
PF3D7_0426000.1-p1	extr	2.5	7
PF3D7_0426000.1-p1	mito	2.5	8
PF3D7_0500100.1-p1	cyto	11.5	1
PF3D7_0500100.1-p1	cyto_mito	8	2
PF3D7_0500100.1-p1	mito_pero	5.83333	3
PF3D7_0500100.1-p1	pero	5.5	4
PF3D7_0500100.1-p1	nucl	5	5
PF3D7_0500100.1-p1	plas	4.5	6
PF3D7_0500100.1-p1	extr_plas	3.5	7
PF3D7_0500100.1-p1	mito	3	8
PF3D7_0500400.1-p1	pero	17	1
PF3D7_0500400.1-p1	E.R.	7	2
PF3D7_0500400.1-p1	plas	4	3
PF3D7_0500400.1-p1	E.R._golg	4	4
PF3D7_0500500.1-p1	plas	25	1
PF3D7_0500500.1-p1	extr	2	2
PF3D7_0500500.1-p1	E.R.	2	3
PF3D7_0500500.1-p1	golg	2	4
PF3D7_0500500.1-p1	E.R._golg	2	5
PF3D7_0500800.1-p1	plas	15	1
PF3D7_0500800.1-p1	cyto	5	2
PF3D7_0500800.1-p1	E.R.	4	3
PF3D7_0500800.1-p1	mito_pero	3.5	4
PF3D7_0500800.1-p1	pero	2.5	5
PF3D7_0500800.1-p1	cyto_golg	2.5	6
PF3D7_0500900.1-p1	plas	9	1
PF3D7_0500900.1-p1	E.R._mito	7.83333	2
PF3D7_0500900.1-p1	E.R.	6.5	3
PF3D7_0500900.1-p1	mito	6	4
PF3D7_0500900.1-p1	cyto_mito	6	5
PF3D7_0500900.1-p1	extr	5	6
PF3D7_0500900.1-p1	cyto	4.5	7
PF3D7_0500900.1-p1	cysk_plas	4.5	8
PF3D7_0501000.1-p1	plas	26	1
PF3D7_0501000.1-p1	E.R.	3	2
PF3D7_0501100.1-p1	E.R.	15	1
PF3D7_0501100.1-p1	extr	14	2
PF3D7_0501200.1-p1	plas	9	1
PF3D7_0501200.1-p1	extr	7	2
PF3D7_0501200.1-p1	pero	6	3
PF3D7_0501200.1-p1	E.R.	3	4
PF3D7_0501200.1-p1	golg	3	5
PF3D7_0501200.1-p1	E.R._golg	3	6
PF3D7_0501300.1-p1	cyto	11.5	1
PF3D7_0501300.1-p1	cyto_nucl	8	2
PF3D7_0501300.1-p1	pero	8	3
PF3D7_0501300.1-p1	plas	5.5	4
PF3D7_0501300.1-p1	nucl	3.5	5
PF3D7_0501300.1-p1	extr_plas	3.5	6
PF3D7_0501400.1-p1	plas	10	1
PF3D7_0501400.1-p1	nucl	9.5	2
PF3D7_0501400.1-p1	cyto_nucl	8.83333	3
PF3D7_0501400.1-p1	cyto	7	4
PF3D7_0501400.1-p1	cyto_mito	4.33333	5
PF3D7_0501400.1-p1	E.R.	3	6
PF3D7_0501500.1-p1	extr	26	1
PF3D7_0501500.1-p1	E.R.	3	2
PF3D7_0501600.1-p1	extr	16	1
PF3D7_0501600.1-p1	E.R.	9	2
PF3D7_0501600.1-p1	lyso	3	3
PF3D7_0501600.1-p1	pero	2	4
PF3D7_0501700.1-p1	cyto	19	1
PF3D7_0501700.1-p1	nucl	8	2
PF3D7_0501700.1-p1	pero	4	3
PF3D7_0501800.1-p1	nucl	23	1
PF3D7_0501800.1-p1	cyto	8	2
PF3D7_0501900.1-p1	cyto	28	1
PF3D7_0501900.1-p1	mito	3	2
PF3D7_0502000.1-p1	cyto	15	1
PF3D7_0502000.1-p1	cyto_nucl	12.3333	2
PF3D7_0502000.1-p1	cyto_mito	9.5	3
PF3D7_0502000.1-p1	nucl	8.5	4
PF3D7_0502000.1-p1	mito_pero	3.33333	5
PF3D7_0502000.1-p1	plas	2.5	6
PF3D7_0502000.1-p1	mito	2.5	7
PF3D7_0502100.1-p1	cyto	22	1
PF3D7_0502100.1-p1	cyto_pero	13.5	2
PF3D7_0502100.1-p1	cyto_nucl	13.3333	3
PF3D7_0502100.1-p1	extr	4	4
PF3D7_0502200.1-p1	cyto	18	1
PF3D7_0502200.1-p1	cyto_nucl	11	2
PF3D7_0502200.1-p1	mito	6.5	3
PF3D7_0502200.1-p1	mito_pero	5	4
PF3D7_0502200.1-p1	pero	2.5	5
PF3D7_0502200.1-p1	nucl	2	6
PF3D7_0502200.1-p1	E.R.	2	7
PF3D7_0502300.1-p1	nucl	19	1
PF3D7_0502300.1-p1	cyto	9	2
PF3D7_0502300.1-p1	extr	2	3
PF3D7_0502300.1-p1	mito	2	4
PF3D7_0502400.1-p1	E.R.	16	1
PF3D7_0502400.1-p1	extr	9	2
PF3D7_0502400.1-p1	plas	4	3
PF3D7_0502500.1-p1	plas	20	1
PF3D7_0502500.1-p1	extr	6	2
PF3D7_0502500.1-p1	E.R.	3	3
PF3D7_0502600.1-p1	cyto	17	1
PF3D7_0502600.1-p1	cyto_nucl	12.5	2
PF3D7_0502600.1-p1	nucl	6	3
PF3D7_0502600.1-p1	mito	5	4
PF3D7_0502700.1-p1	cyto	17	1
PF3D7_0502700.1-p1	cyto_nucl	16	2
PF3D7_0502700.1-p1	nucl	9	3
PF3D7_0502700.1-p1	extr	3	4
PF3D7_0502800.1-p1	extr	16	1
PF3D7_0502800.1-p1	cyto	12	2
PF3D7_0502800.1-p1	mito	3	3
PF3D7_0502900.1-p1	cyto	15.5	1
PF3D7_0502900.1-p1	extr	12	2
PF3D7_0502900.1-p1	cyto_nucl	9	3
PF3D7_0502900.1-p1	mito	3	4
PF3D7_0503000.1-p1	mito	24	1
PF3D7_0503000.1-p1	extr	3	2
PF3D7_0503000.1-p1	cyto	3	3
PF3D7_0503100.1-p1	cyto	12	1
PF3D7_0503100.1-p1	pero	12	2
PF3D7_0503100.1-p1	cyto_pero	12	3
PF3D7_0503200.1-p1	nucl	17	1
PF3D7_0503200.1-p1	cyto_nucl	16.5	2
PF3D7_0503200.1-p1	cyto	14	3
PF3D7_0503300.1-p1	nucl	32	1
PF3D7_0503400.1-p1	cyto	13.5	1
PF3D7_0503400.1-p1	cyto_nucl	11	2
PF3D7_0503400.1-p1	extr	10	3
PF3D7_0503400.1-p1	nucl	7.5	4
PF3D7_0503500.1-p1	cyto	28.5	1
PF3D7_0503500.1-p1	cyto_nucl	15.5	2
PF3D7_0503600.1-p1	cyto	16	1
PF3D7_0503600.1-p1	cyto_nucl	16	2
PF3D7_0503600.1-p1	nucl	14	3
PF3D7_0503800.1-p1	mito	17.5	1
PF3D7_0503800.1-p1	mito_nucl	12	2
PF3D7_0503800.1-p1	cyto	8	3
PF3D7_0503800.1-p1	nucl	5.5	4
PF3D7_0503900.1-p1	cyto	20	1
PF3D7_0503900.1-p1	nucl	6	2
PF3D7_0503900.1-p1	mito	4	3
PF3D7_0504000.1-p1	plas	32	1
PF3D7_0504100.1-p1	extr	15	1
PF3D7_0504100.1-p1	cyto	10	2
PF3D7_0504100.1-p1	nucl	5	3
PF3D7_0504100.1-p1	cyto_pero	5	4
PF3D7_0504100.1-p1	cyto_plas	5	5
PF3D7_0504100.1-p1	cyto_golg	5	6
PF3D7_0504200.1-p1	E.R.	16	1
PF3D7_0504200.1-p1	extr	11	2
PF3D7_0504200.1-p1	pero	3	3
PF3D7_0504300.1-p1	cyto_nucl	14.5	1
PF3D7_0504300.1-p1	cyto	14	2
PF3D7_0504300.1-p1	nucl	13	3
PF3D7_0504300.1-p1	extr	3	4
PF3D7_0504400.1-p1	plas	9	1
PF3D7_0504400.1-p1	E.R.	7.5	2
PF3D7_0504400.1-p1	extr	7	3
PF3D7_0504400.1-p1	E.R._golg	4.5	4
PF3D7_0504400.1-p1	cysk_plas	4.5	5
PF3D7_0504400.1-p1	cyto_plas	4.5	6
PF3D7_0504500.1-p1	plas	16	1
PF3D7_0504500.1-p1	extr	7	2
PF3D7_0504500.1-p1	pero	7	3
PF3D7_0504600.1-p1	mito	19.5	1
PF3D7_0504600.1-p1	cyto	11	2
PF3D7_0504600.1-p1	E.R._mito	10.5	3
PF3D7_0504700.1-p1	nucl	31	1
PF3D7_0504800.1-p1	cyto	22	1
PF3D7_0504800.1-p1	nucl	7	2
PF3D7_0504900.1-p1	cyto	15	1
PF3D7_0504900.1-p1	pero	11	2
PF3D7_0504900.1-p1	extr	3	3
PF3D7_0505000.1-p1	plas	32	1
PF3D7_0505100.1-p1	cyto	19	1
PF3D7_0505100.1-p1	mito	4	2
PF3D7_0505100.1-p1	pero	4	3
PF3D7_0505100.1-p1	mito_pero	4	4
PF3D7_0505200.1-p1	cysk	26	1
PF3D7_0505200.1-p1	nucl	3	2
PF3D7_0505200.1-p1	cyto	3	3
PF3D7_0505200.1-p1	cyto_nucl	3	4
PF3D7_0505300.1-p1	plas	30	1
PF3D7_0505400.1-p1	E.R.	17	1
PF3D7_0505400.1-p1	plas	6	2
PF3D7_0505400.1-p1	mito	3	3
PF3D7_0505400.1-p1	pero	3	4
PF3D7_0505400.1-p1	mito_pero	3	5
PF3D7_0505400.1-p1	cysk_plas	3	6
PF3D7_0505400.1-p1	cyto_plas	3	7
PF3D7_0505500.1-p1	nucl	29	1
PF3D7_0505600.1-p1	cyto	17	1
PF3D7_0505600.1-p1	cyto_nucl	16.5	2
PF3D7_0505600.1-p1	nucl	12	3
PF3D7_0505700.1-p1	plas	16	1
PF3D7_0505700.1-p1	pero	10	2
PF3D7_0505700.1-p1	E.R.	5	3
PF3D7_0505700.1-p1	mito_pero	5	4
PF3D7_0505700.1-p1	cyto_pero	5	5
PF3D7_0505800.1-p1	cyto	20	1
PF3D7_0505800.1-p1	extr	6	2
PF3D7_0505800.1-p1	mito	3	3
PF3D7_0505800.1-p1	extr_plas	3	4
PF3D7_0505900.1-p1	cyto_nucl	16	1
PF3D7_0505900.1-p1	nucl	12	2
PF3D7_0505900.1-p1	cyto	12	3
PF3D7_0505900.1-p1	extr	6	4
PF3D7_0506000.1-p1	plas	14	1
PF3D7_0506000.1-p1	pero	7	2
PF3D7_0506000.1-p1	cysk_plas	7	3
PF3D7_0506000.1-p1	cyto_plas	7	4
PF3D7_0506100.1-p1	cyto	14.5	1
PF3D7_0506100.1-p1	cyto_nucl	11.5	2
PF3D7_0506100.1-p1	mito	10	3
PF3D7_0506100.1-p1	nucl	3.5	4
PF3D7_0506200.1-p1	nucl	31	1
PF3D7_0506300.1-p1	mito	24	1
PF3D7_0506300.1-p1	cyto	5	2
PF3D7_0506400.1-p1	extr	32	1
PF3D7_0506500.1-p1	nucl	25	1
PF3D7_0506500.1-p1	cyto_nucl	17	2
PF3D7_0506500.1-p1	cyto	7	3
PF3D7_0506700.1-p1	cyto	20	1
PF3D7_0506700.1-p1	cyto_nucl	12.3333	2
PF3D7_0506700.1-p1	cyto_mito	12.3333	3
PF3D7_0506700.1-p1	mito_pero	4.83333	4
PF3D7_0506700.1-p1	nucl	3.5	5
PF3D7_0506700.1-p1	pero	3.5	6
PF3D7_0506800.1-p1	nucl	19.5	1
PF3D7_0506800.1-p1	cyto_nucl	14	2
PF3D7_0506800.1-p1	cyto	7.5	3
PF3D7_0506800.1-p1	mito	5	4
PF3D7_0506900.1-p1	plas	32	1
PF3D7_0507000.1-p1	cyto	13	1
PF3D7_0507000.1-p1	mito	13	2
PF3D7_0507000.1-p1	cyto_mito	13	3
PF3D7_0507100.1-p1	cyto	19	1
PF3D7_0507100.1-p1	mito	9.5	2
PF3D7_0507100.1-p1	cyto_pero	9.5	3
PF3D7_0507100.1-p1	cyto_plas	9.5	4
PF3D7_0507100.1-p1	cyto_golg	9.5	5
PF3D7_0507200.1-p1	nucl	13	1
PF3D7_0507200.1-p1	cyto_nucl	12	2
PF3D7_0507200.1-p1	cyto	9	3
PF3D7_0507200.1-p1	extr	5	4
PF3D7_0507200.1-p1	mito	4	5
PF3D7_0507300.1-p1	extr	8	1
PF3D7_0507300.1-p1	pero	7	2
PF3D7_0507300.1-p1	mito_pero	5.5	3
PF3D7_0507300.1-p1	E.R._golg	5	4
PF3D7_0507300.1-p1	E.R.	4.5	5
PF3D7_0507300.1-p1	golg	4.5	6
PF3D7_0507300.1-p1	plas	4	7
PF3D7_0507400.1-p1	extr	25	1
PF3D7_0507400.1-p1	cyto	5	2
PF3D7_0507500.1-p1	extr	13	1
PF3D7_0507500.1-p1	E.R.	8	2
PF3D7_0507500.1-p1	extr_plas	8	3
PF3D7_0507600.1-p1	cyto	18	1
PF3D7_0507600.1-p1	cyto_nucl	15.8333	2
PF3D7_0507600.1-p1	cyto_plas	10.1667	3
PF3D7_0507600.1-p1	nucl	8.5	4
PF3D7_0507700.1-p1	pero	17	1
PF3D7_0507700.1-p1	cyto	6	2
PF3D7_0507700.1-p1	plas	3	3
PF3D7_0507700.1-p1	nucl	3	4
PF3D7_0507700.1-p1	cyto_golg	3	5
PF3D7_0507800.1-p1	cyto_nucl	16.1667	1
PF3D7_0507800.1-p1	nucl	16	2
PF3D7_0507800.1-p1	cyto	14	3
PF3D7_0507800.1-p1	cyto_mito	8	4
PF3D7_0507800.1-p1	cyto_plas	8	5
PF3D7_0507900.1-p1	cyto	13	1
PF3D7_0507900.1-p1	extr	10	2
PF3D7_0507900.1-p1	pero	4	3
PF3D7_0507900.1-p1	plas	2	4
PF3D7_0508000.1-p1	plas	9.5	1
PF3D7_0508000.1-p1	extr_plas	9	2
PF3D7_0508000.1-p1	E.R.	8	3
PF3D7_0508000.1-p1	extr	7.5	4
PF3D7_0508000.1-p1	pero	4	5
PF3D7_0508000.1-p1	E.R._mito	4	6
PF3D7_0508100.1-p1	cyto	21	1
PF3D7_0508100.1-p1	nucl	9	2
PF3D7_0508200.1-p1	plas	26	1
PF3D7_0508200.1-p1	E.R.	4	2
PF3D7_0508300.1-p1	plas	31	1
PF3D7_0508400.1-p1	mito	22	1
PF3D7_0508400.1-p1	cyto	9	2
PF3D7_0508500.1-p1	plas	24	1
PF3D7_0508500.1-p1	nucl	6	2
PF3D7_0508600.1-p1	nucl	17.5	1
PF3D7_0508600.1-p1	mito_nucl	16	2
PF3D7_0508600.1-p1	mito	13.5	3
PF3D7_0508700.1-p1	nucl	30	1
PF3D7_0508800.1-p1	extr	17	1
PF3D7_0508800.1-p1	E.R.	5	2
PF3D7_0508800.1-p1	mito_pero	4.5	3
PF3D7_0508800.1-p1	pero	4	4
PF3D7_0508800.1-p1	mito	3	5
PF3D7_0508800.1-p1	E.R._golg	3	6
PF3D7_0508900.1-p1	nucl	16	1
PF3D7_0508900.1-p1	cyto	14.5	2
PF3D7_0508900.1-p1	cyto_golg	8	3
PF3D7_0508900.1-p1	mito_nucl	8	4
PF3D7_0509000.1-p1	cyto	22.5	1
PF3D7_0509000.1-p1	cyto_pero	13.1667	2
PF3D7_0509000.1-p1	cyto_nucl	12.8333	3
PF3D7_0509000.1-p1	extr	4	4
PF3D7_0509100.1-p1	cyto_nucl	16.8333	1
PF3D7_0509100.1-p1	cyto	16.5	2
PF3D7_0509100.1-p1	nucl	15	3
PF3D7_0509100.1-p1	cyto_mito	9.16667	4
PF3D7_0509200.1-p1	cyto	17	1
PF3D7_0509200.1-p1	cyto_nucl	14.8333	2
PF3D7_0509200.1-p1	cyto_plas	9.66667	3
PF3D7_0509200.1-p1	nucl	7.5	4
PF3D7_0509200.1-p1	extr	4	5
PF3D7_0509300.1-p1	cyto	15.5	1
PF3D7_0509300.1-p1	cyto_nucl	12	2
PF3D7_0509300.1-p1	mito	8	3
PF3D7_0509300.1-p1	nucl	7.5	4
PF3D7_0509400.1-p1	cyto	15	1
PF3D7_0509400.1-p1	cyto_nucl	15	2
PF3D7_0509400.1-p1	nucl	13	3
PF3D7_0509500.1-p1	cyto	13	1
PF3D7_0509500.1-p1	nucl	12	2
PF3D7_0509500.1-p1	extr	4	3
PF3D7_0509600.1-p1	mito	7.5	1
PF3D7_0509600.1-p1	E.R.	7	2
PF3D7_0509600.1-p1	plas	5	3
PF3D7_0509600.1-p1	pero	5	4
PF3D7_0509600.1-p1	E.R._golg	5	5
PF3D7_0509600.1-p1	cyto_mito	4.5	6
PF3D7_0509700.1-p1	cyto	14.5	1
PF3D7_0509700.1-p1	cyto_mito	9.66667	2
PF3D7_0509700.1-p1	nucl	8	3
PF3D7_0509700.1-p1	mito_pero	3.83333	4
PF3D7_0509700.1-p1	mito	3.5	5
PF3D7_0509700.1-p1	plas	2	6
PF3D7_0509700.1-p1	pero	2	7
PF3D7_0509700.1-p1	golg	2	8
PF3D7_0509800.1-p1	plas	26	1
PF3D7_0509800.1-p1	nucl	3	2
PF3D7_0509900.1-p1	cyto	26	1
PF3D7_0509900.1-p1	cyto_nucl	18	2
PF3D7_0509900.1-p1	nucl	6	3
PF3D7_0510000.1-p1	cyto	24	1
PF3D7_0510000.1-p1	nucl	3	2
PF3D7_0510000.1-p1	mito	3	3
PF3D7_0510000.1-p1	mito_nucl	3	4
PF3D7_0510100.1-p1	cyto	18.5	1
PF3D7_0510100.1-p1	cyto_nucl	15.6667	2
PF3D7_0510100.1-p1	cyto_golg	11.3333	3
PF3D7_0510100.1-p1	cyto_pero	10.8333	4
PF3D7_0510100.1-p1	nucl	9.5	5
PF3D7_0510200.1-p1	nucl	19.5	1
PF3D7_0510200.1-p1	cyto_nucl	16.8333	2
PF3D7_0510200.1-p1	cyto	11	3
PF3D7_0510200.1-p1	cyto_mito	6.5	4
PF3D7_0510300.1-p1	cyto	19.5	1
PF3D7_0510300.1-p1	cyto_nucl	17	2
PF3D7_0510300.1-p1	nucl	9.5	3
PF3D7_0510400.1-p1	cyto	19.5	1
PF3D7_0510400.1-p1	cyto_nucl	15	2
PF3D7_0510400.1-p1	nucl	7.5	3
PF3D7_0510400.1-p1	extr	2	4
PF3D7_0510400.1-p1	pero	2	5
PF3D7_0510500.1-p1	nucl	18.5	1
PF3D7_0510500.1-p1	cyto_nucl	15.3333	2
PF3D7_0510500.1-p1	cyto	11	3
PF3D7_0510500.1-p1	cyto_mito	6.33333	4
PF3D7_0510700.1-p1	cyto	20	1
PF3D7_0510700.1-p1	cyto_nucl	16.6667	2
PF3D7_0510700.1-p1	cyto_plas	11.1667	3
PF3D7_0510700.1-p1	cyto_mito	11.1667	4
PF3D7_0510700.1-p1	nucl	9	5
PF3D7_0510800.1-p1	cyto_nucl	16.8333	1
PF3D7_0510800.1-p1	cyto	16.5	2
PF3D7_0510800.1-p1	nucl	13	3
PF3D7_0510800.1-p1	cyto_plas	9.33333	4
PF3D7_0511000.1-p1	cyto_nucl	18.6667	1
PF3D7_0511000.1-p1	cyto	18	2
PF3D7_0511000.1-p1	cyto_plas	11.3333	3
PF3D7_0511000.1-p1	nucl	9	4
PF3D7_0511100.1-p1	extr	27	1
PF3D7_0511100.1-p1	E.R.	4	2
PF3D7_0511200.1-p1	plas	27	1
PF3D7_0511200.1-p1	E.R.	4	2
PF3D7_0511300.1-p1	nucl	16	1
PF3D7_0511300.1-p1	cyto	12	2
PF3D7_0511300.1-p1	extr	2	3
PF3D7_0511400.1-p1	E.R.	25	1
PF3D7_0511400.1-p1	extr	3	2
PF3D7_0511400.1-p1	plas	2	3
PF3D7_0511600.1-p1	pero	16	1
PF3D7_0511600.1-p1	plas	11	2
PF3D7_0511600.1-p1	extr	5	3
PF3D7_0511700.1-p1	cyto	13	1
PF3D7_0511700.1-p1	extr	8	2
PF3D7_0511700.1-p1	cyto_nucl	8	3
PF3D7_0511800.1-p1	cyto	15	1
PF3D7_0511800.1-p1	cyto_nucl	10.8333	2
PF3D7_0511800.1-p1	cyto_mito	10.5	3
PF3D7_0511800.1-p1	nucl	5.5	4
PF3D7_0511800.1-p1	mito_pero	4.83333	5
PF3D7_0511800.1-p1	mito	4.5	6
PF3D7_0511800.1-p1	pero	3	7
PF3D7_0511900.1-p1	cyto	12	1
PF3D7_0511900.1-p1	mito	8	2
PF3D7_0511900.1-p1	extr	5	3
PF3D7_0511900.1-p1	nucl	3	4
PF3D7_0511900.1-p1	pero	3	5
PF3D7_0512000.1-p1	cyto_nucl	14	1
PF3D7_0512000.1-p1	cyto	13	2
PF3D7_0512000.1-p1	nucl	9.5	3
PF3D7_0512000.1-p1	cyto_plas	9.16667	4
PF3D7_0512000.1-p1	extr	4	5
PF3D7_0512100.1-p1	nucl	10.5	1
PF3D7_0512100.1-p1	extr	10	2
PF3D7_0512100.1-p1	cyto_nucl	9	3
PF3D7_0512100.1-p1	cyto	6.5	4
PF3D7_0512100.1-p1	mito	5	5
PF3D7_0512100.1-p1	extr_plas	5	6
PF3D7_0512200.1-p1	cyto	20.5	1
PF3D7_0512200.1-p1	cyto_nucl	14.5	2
PF3D7_0512200.1-p1	nucl	7.5	3
PF3D7_0512300.1-p1	nucl	32	1
PF3D7_0512400.1-p1	cyto	19	1
PF3D7_0512400.1-p1	cyto_nucl	15	2
PF3D7_0512400.1-p1	nucl	9	3
PF3D7_0512500.1-p1	cyto	16.5	1
PF3D7_0512500.1-p1	cyto_nucl	14.8333	2
PF3D7_0512500.1-p1	nucl	11	3
PF3D7_0512500.1-p1	cyto_plas	9.66667	4
PF3D7_0512600.1-p1	cyto	13.5	1
PF3D7_0512600.1-p1	mito	11	2
PF3D7_0512600.1-p1	cyto_nucl	8	3
PF3D7_0512600.1-p1	extr	5	4
PF3D7_0512700.1-p1	cyto	15	1
PF3D7_0512700.1-p1	cyto_nucl	12.5	2
PF3D7_0512700.1-p1	nucl	8	3
PF3D7_0512700.1-p1	cysk	3	4
PF3D7_0512700.1-p1	plas	2	5
PF3D7_0512700.1-p1	pero	2	6
PF3D7_0512800.1-p1	cyto_nucl	15.5	1
PF3D7_0512800.1-p1	nucl	15	2
PF3D7_0512800.1-p1	cyto	14	3
PF3D7_0512900.1-p1	mito	19	1
PF3D7_0512900.1-p1	cyto	9	2
PF3D7_0512900.1-p1	nucl	3	3
PF3D7_0513000.1-p1	extr	30	1
PF3D7_0513100.1-p1	cyto	17.5	1
PF3D7_0513100.1-p1	cyto_nucl	17	2
PF3D7_0513100.1-p1	nucl	9.5	3
PF3D7_0513100.1-p1	mito	3	4
PF3D7_0513200.1-p1	cyto	17.5	1
PF3D7_0513200.1-p1	cyto_mito	10.1667	2
PF3D7_0513200.1-p1	pero	6	3
PF3D7_0513200.1-p1	nucl	5	4
PF3D7_0513200.1-p1	mito_pero	4.83333	5
PF3D7_0513300.1-p1	cyto	19.5	1
PF3D7_0513300.1-p1	cyto_nucl	12.5	2
PF3D7_0513300.1-p1	extr	6	3
PF3D7_0513300.1-p1	nucl	4.5	4
PF3D7_0513400.1-p1	cyto	30	1
PF3D7_0513500.1-p1	mito	19	1
PF3D7_0513500.1-p1	cyto	9.5	2
PF3D7_0513500.1-p1	E.R._mito	9.5	3
PF3D7_0513500.1-p1	mito_pero	9.5	4
PF3D7_0513600.1-p1	cyto_nucl	17	1
PF3D7_0513600.1-p1	cyto	16.5	2
PF3D7_0513600.1-p1	nucl	14.5	3
PF3D7_0513700.1-p1	cyto	12	1
PF3D7_0513700.1-p1	extr	11	2
PF3D7_0513700.1-p1	cyto_nucl	8.5	3
PF3D7_0513700.1-p1	nucl	3	4
PF3D7_0513700.1-p1	mito	3	5
PF3D7_0513800.1-p1	cyto	17	1
PF3D7_0513800.1-p1	cyto_nucl	13.5	2
PF3D7_0513800.1-p1	extr	6	3
PF3D7_0513800.1-p1	nucl	6	4
PF3D7_0513900.1-p1	cyto	13.5	1
PF3D7_0513900.1-p1	cyto_mito	9.5	2
